p_1;p_2;p_3;p_4;p_5;p_6;p_7;p_8;p_9;p_10;p_11;p_12;p_13;p_14;p_15;p_16;p_17;p_18;p_19;p_20;p_21;p_22;p_23;p_24;p_25;p_26;p_27;p_28;p_29;p_30;p_31;p_32;p_33;p_34;p_35
2,272446;2,129876;1,865168;1,891915;1,784557;2,016004;1,680742;1,846046;2,131772;2,055624;1,833385;2,022478;2,184726;2,26983;1,856308;2,150052;2,172345;2,149124;2,00017;2,140424;1,932028;1,889881;1,796957;2,173023;1,681793;2,040395;2,250113;2,040824;1,998358;1,953949;2,415852;2,115685;1,944129;1,952832;1,814376
1,996085;1,904176;1,700752;1,714461;1,611445;1,8318;1,453134;1,677108;1,883188;1,831768;1,682608;1,843471;1,99628;2,050538;1,675847;1,968729;1,913688;1,941357;1,781013;1,936446;1,76567;1,736265;1,665846;1,965236;1,523657;1,864713;2,043969;1,827334;1,789018;1,757766;2,190193;1,910866;1,735576;1,75504;1,666049
1,821378;1,760119;1,542085;1,556483;1,461267;1,666465;1,206262;1,496333;1,760396;1,676093;1,527633;1,668061;1,828611;1,897686;1,510533;1,809009;1,787436;1,77693;1,573933;1,725868;1,597956;1,590498;1,53673;1,778871;1,354399;1,678085;1,843174;1,654358;1,639104;1,620009;1,969723;1,698405;1,517014;1,543148;1,484521
1,673937;1,598481;1,379909;1,422153;1,299555;1,505163;0,9775425;1,330848;1,646941;1,545855;1,385835;1,497307;1,681863;1,749142;1,366619;1,672614;1,653914;1,721453;1,363963;1,494964;1,456044;1,441976;1,379844;1,610876;1,218094;1,483765;1,666589;1,497428;1,491682;1,444307;1,755347;1,470279;1,301372;1,347357;1,315247
1,512275;1,452376;1,206266;1,293306;1,128736;1,330298;0,7166269;1,204696;1,532724;1,408965;1,226844;1,321226;1,564766;1,596383;1,192583;1,493493;1,574802;1,597962;1,17973;1,263473;1,281434;1,264845;1,235927;1,435944;1,065636;1,295675;1,470025;1,321383;1,333192;1,260677;1,573855;1,226003;1,072066;1,116389;1,18541
1,346863;1,258689;1,029854;1,174531;0,9539126;1,183559;0,4636139;1,06596;1,401505;1,268072;1,023393;1,145463;1,422307;1,434849;0,9898674;1,314563;1,441657;1,472949;0,9419624;1,041392;1,089898;1,045293;1,044524;1,276788;0,9064291;1,106084;1,287757;1,144485;1,177634;1,077297;1,385967;0,9828242;0,8448481;0,8907132;1,045447
1,164567;1,068302;0,8447489;1,041297;0,7781538;0,9726551;0,190856;0,9262595;1,239591;1,119566;0,8304058;0,9406241;1,303321;1,263119;0,7899383;1,145087;1,295717;1,334841;0,6875206;0,8133548;0,8980204;0,8483435;0,8578506;1,100185;0,7212006;0,8961318;1,088934;0,9480982;1,038286;0,8678549;1,190209;0,7317338;0,5972059;0,6138319;0,8961623
0,9649335;0,9102091;0,5942522;0,8577963;0,5826674;0,7859847;-0,1269372;0,7464727;1,085349;0,960322;0,6509483;0,7546031;1,153852;1,073911;0,566179;1,011703;1,151573;1,177402;0,4431064;0,5662419;0,6815879;0,6273228;0,6701788;0,9349021;0,5188589;0,6589846;0,8715794;0,7528436;0,8716004;0,6466956;0,9631727;0,5046037;0,3353168;0,3612988;0,749685
0,7647352;0,7278355;0,3460439;0,6603525;0,37068;0,5824321;-0,4131646;0,5402847;0,9411972;0,772338;0,4731175;0,5310444;0,9932608;0,8885266;0,385221;0,8369051;0,9794536;0,9911297;0,2029566;0,3300705;0,4577697;0,4188751;0,5181612;0,7279837;0,3500146;0,4346343;0,6480769;0,5408621;0,6893834;0,4482801;0,7187263;0,2082911;0,07098442;0,1437584;0,5230989
0,5769619;0,5300831;0,05265504;0,4106254;0,1469159;0,3569883;-0,7055893;0,3224409;0,7734468;0,5907959;0,2660554;0,2818284;0,8231469;0,7199592;0,1572536;0,6938366;0,8448285;0,8418603;-0,06125456;0,07857555;0,2146875;0,1894719;0,3295873;0,5461398;0,162741;0,1576639;0,4126473;0,3442121;0,5210023;0,2011744;0,493061;-0,0627439;-0,1935209;-0,1388808;0,3156874
