x_1;x_2;x_3;x_4;x_5;x_6;x_7;x_8;x_9;x_10;x_11;x_12;x_13;x_14;x_15;x_16;x_17;x_18;x_19;x_20;x_21;x_22;x_23;x_24;x_25;x_26;x_27;x_28;x_29;x_30;x_31;x_32;x_33;x_34;x_35
0,002587685;-0,005339116;-0,006935377;-0,003577646;-0,00728509;-0,01184718;-0,01045434;-0,005985582;-0,008028176;-0,000732189;-0,006160269;-0,005515654;-0,004918678;-0,009835927;0,001323307;-0,00931889;-0,008268734;-0,01205958;-0,008311858;-0,002954763;-0,002930893;-0,005914707;-0,002375606;-0,007264093;-0,00968992;-0,002432857;-0,008460844;-0,004186739;-0,005448749;-0,005453173;0,002598617;-0,007491374;-0,001986334;-0,01000377;0,007446369
-0,006311464;-0,01518973;-0,005781623;-0,007667372;-0,002407387;-0,009721795;-0,003873227;-0,005260466;-0,006297017;0,000876486;-0,01179824;-0,006191896;-0,005372871;-0,004226197;-0,004923103;-0,002205124;-0,004696763;-0,002392882;-0,001731394;-0,000311686;0,004651437;-0,01084404;-0,002507482;-0,005312541;0,005096751;-0,004142527;-0,001989901;-0,009702446;-0,002641486;-0,006105006;-0,005250379;-0,01107595;-0,008558309;-0,006381119;0,008670947
-0,003311355;-0,003126414;0,002349976;-0,005214734;-0,008427799;-0,002728841;-0,00923717;-0,002407758;-0,00229056;-0,004334853;-0,008168366;-0,009793358;-0,005495019;-0,01119332;-0,004289929;-0,0063871;-0,007275631;-0,005232597;0,004513523;-0,01162943;-0,001053182;-0,004951067;-0,005147167;-0,008969195;-0,007875161;-0,00012809;-0,007352352;-0,004786545;-0,005219193;-0,003812982;-0,008140741;-0,000965112;0,000331771;-0,004190022;-0,008171616
-0,006515004;-0,006082544;-0,005614055;-0,005754525;-0,009920442;-0,008709209;-0,009615671;-0,000613518;-0,006488446;-0,009812882;-0,008081222;-0,006511974;-0,000964023;-0,009091826;0,000752894;0,000552774;-0,01004301;-0,00408688;-0,01220787;-0,003814083;-0,005751645;-0,008317858;-0,00575573;-0,005416319;-0,006247167;-0,0048682;-0,008048115;-0,009069651;-0,005278958;-0,009678077;-0,008156791;-0,006610408;-0,01205476;0,002713157;-0,01768858
-0,004830064;0,000260245;-0,007355502;0,000700494;-0,005634032;-0,009271313;-0,005903799;-0,002483873;-0,005184028;-0,00495512;-0,01326175;-0,01448074;-0,001207443;-0,004806284;-0,000607962;0,001605963;-0,006625505;-0,005392661;-0,004312111;-0,01374502;-0,009147206;-0,00238811;-0,005004404;-0,01189444;-0,009686781;-0,002617165;-0,00254634;-0,01020345;-0,008250576;-0,005454781;-0,01207585;-0,006179967;-0,009107754;-0,01459789;-0,01893433
-0,001406094;-0,00360601;-0,003234372;-0,01696234;-0,01016743;-0,005096352;-0,006043637;-0,002144778;-0,003488127;-0,000808369;-0,003108897;-0,003629208;-0,006087638;-0,005409649;-0,002963865;-0,007030599;-0,004311131;-0,01247824;-0,008178693;0,000380825;-0,008492915;-0,005511107;-0,000289114;-0,004131142;-0,001332877;-0,003755417;-0,005834313;-0,003064182;-0,0090975;-0,008536309;-0,008946441;-0,01538466;-0,002217347;0,001380114;-0,002213169
-0,003937038;-0,005395038;-0,009222414;0,000422133;0,00100603;-0,0044965;-0,000121472;-0,001173291;-0,007717216;0,002481489;-0,009098042;-0,007897587;0,000804983;-0,01419234;-0,008405527;-0,003001854;-0,003790535;-0,005063711;-0,01380096;-0,006825957;-0,006575941;-0,00264552;-0,001833849;-0,001392014;-0,009304063;-0,006725602;-0,005671952;-0,008031387;-0,001045883;-0,002406016;-4,69424E-05;0,000252806;-0,003439613;-0,01056916;0,002718328
-0,007610889;-0,000253242;-0,01122905;-0,00038822;-0,00754523;-0,008099731;-0,007802486;-0,01084756;-0,006402062;-0,003704094;-0,006088471;-0,01020005;-0,01224425;-0,00908844;-0,004133606;-0,006112605;-0,002794169;-0,008584375;-0,005688412;-0,003263909;-0,01016998;-0,008516064;-0,007562762;-0,000111336;-0,00506378;-0,003907269;-0,001619982;-0,005016299;-0,009335654;-8,65832E-05;-0,0131087;0,000262108;-0,005885683;-0,00526897;-0,00061754
-0,005648479;-0,009943027;-0,001353755;-0,001810236;-0,007170441;-0,002704948;-0,003496956;-0,01108768;-0,007023659;-0,005916078;-0,005583268;-0,006438663;-0,007323649;-8,97363E-05;-0,01297832;-0,005296377;-0,007690331;-0,008279674;-0,003916334;0,000636457;-0,003061393;-0,01496363;0,00602001;-0,001847254;-0,004453003;-0,0095761;-0,004086867;-0,009236712;-0,000462661;-0,008899864;-0,005926264;-0,005112128;-0,001796296;-0,006485378;-0,003175896
-0,006796975;-0,008595074;0,000683798;-0,003569927;0,001170371;-0,007579144;-0,003168146;-0,01328757;-0,006220904;-0,00998996;-0,002254342;-0,006458504;-0,007293561;-0,004084429;-0,007460151;-0,007538011;-0,005384775;-0,0060119;-0,008003999;-0,004295269;-0,000882335;-0,00760196;-0,000850242;-0,001967128;-0,01962306;-0,00917251;-0,003532073;-0,01258206;-0,01001852;-0,01048195;-0,007909018;-0,008696593;-0,002594832;-0,003456447;-0,01420943
-0,00030945;-0,01033307;-0,01243007;-0,00027003;-0,01027691;-0,006924819;-0,009430422;-0,007781165;-0,005380896;-0,009300668;-0,001837505;-0,01516875;-0,007232402;0,001002111;-0,007238813;-0,008619018;-0,0124655;-0,006669441;0,00080692;-0,01247159;-0,008045703;-0,003440468;-0,006969424;-0,01438827;-0,003819764;-0,007855646;-0,002553698;-0,005834535;0,001866844;-0,01144738;-0,003731807;-0,003514346;-0,007407131;-0,005280029;-0,009560142
